
> wedding-rsvp@0.0.0 server
> node server/index.js

Server running on http://localhost:3000
MongoDB Connected: 127.0.0.1
Seeding Check Complete.
[2026-03-28T11:07:44.794Z] GET /api/guests
[2026-03-28T11:07:44.795Z] GET /api/rsvps
[2026-03-28T11:07:47.712Z] GET /api/users
[2026-03-28T11:07:47.713Z] GET /api/rsvps
[2026-03-28T11:07:47.715Z] GET /api/guests
[2026-03-28T11:07:53.299Z] GET /api/guests
[2026-03-28T11:07:53.304Z] GET /api/users
[2026-03-28T11:07:53.305Z] GET /api/rsvps
[2026-03-28T11:07:53.738Z] POST /api/login
[2026-03-28T11:07:58.297Z] GET /api/users
[2026-03-28T11:07:58.298Z] GET /api/rsvps
[2026-03-28T11:07:58.300Z] GET /api/guests
[2026-03-28T11:08:03.297Z] GET /api/users
[2026-03-28T11:08:03.298Z] GET /api/guests
[2026-03-28T11:08:03.300Z] GET /api/rsvps
[2026-03-28T11:08:08.295Z] GET /api/users
[2026-03-28T11:08:08.296Z] GET /api/guests
[2026-03-28T11:08:08.298Z] GET /api/rsvps
[2026-03-28T11:08:13.297Z] GET /api/users
[2026-03-28T11:08:13.299Z] GET /api/guests
[2026-03-28T11:08:13.301Z] GET /api/rsvps
[2026-03-28T11:08:18.296Z] GET /api/users
[2026-03-28T11:08:18.297Z] GET /api/guests
[2026-03-28T11:08:18.299Z] GET /api/rsvps
[2026-03-28T11:08:23.293Z] GET /api/rsvps
[2026-03-28T11:08:23.294Z] GET /api/users
[2026-03-28T11:08:23.296Z] GET /api/guests
[2026-03-28T11:08:28.299Z] GET /api/users
[2026-03-28T11:08:28.302Z] GET /api/guests
[2026-03-28T11:08:28.305Z] GET /api/rsvps
[2026-03-28T11:08:33.296Z] GET /api/users
[2026-03-28T11:08:33.297Z] GET /api/guests
[2026-03-28T11:08:33.300Z] GET /api/rsvps
[2026-03-28T11:08:38.309Z] GET /api/users
[2026-03-28T11:08:38.311Z] GET /api/guests
[2026-03-28T11:08:38.312Z] GET /api/rsvps
[2026-03-28T11:08:43.297Z] GET /api/users
[2026-03-28T11:08:43.298Z] GET /api/guests
[2026-03-28T11:08:43.300Z] GET /api/rsvps
[2026-03-28T11:08:48.295Z] GET /api/users
[2026-03-28T11:08:48.296Z] GET /api/guests
[2026-03-28T11:08:48.298Z] GET /api/rsvps
[2026-03-28T11:09:05.307Z] GET /api/guests
[2026-03-28T11:09:05.309Z] GET /api/users
[2026-03-28T11:09:05.310Z] GET /api/rsvps
[2026-03-28T11:10:05.330Z] GET /api/users
[2026-03-28T11:10:05.334Z] GET /api/guests
[2026-03-28T11:10:05.334Z] GET /api/rsvps
[2026-03-28T11:11:05.315Z] GET /api/users
[2026-03-28T11:11:05.326Z] GET /api/guests
[2026-03-28T11:11:05.328Z] GET /api/rsvps
[2026-03-28T11:12:05.305Z] GET /api/rsvps
[2026-03-28T11:12:05.307Z] GET /api/users
[2026-03-28T11:12:05.310Z] GET /api/guests
[2026-03-28T11:13:05.317Z] GET /api/rsvps
[2026-03-28T11:13:05.322Z] GET /api/users
[2026-03-28T11:13:05.325Z] GET /api/guests
[2026-03-28T11:14:05.329Z] GET /api/users
[2026-03-28T11:14:05.331Z] GET /api/guests
[2026-03-28T11:14:05.333Z] GET /api/rsvps
[2026-03-28T11:15:05.320Z] GET /api/users
[2026-03-28T11:15:05.325Z] GET /api/guests
[2026-03-28T11:15:05.328Z] GET /api/rsvps
[2026-03-28T11:16:05.351Z] GET /api/users
[2026-03-28T11:16:05.365Z] GET /api/guests
[2026-03-28T11:16:05.368Z] GET /api/rsvps
[2026-03-28T11:17:05.322Z] GET /api/users
[2026-03-28T11:17:05.328Z] GET /api/guests
[2026-03-28T11:17:05.331Z] GET /api/rsvps
[2026-03-28T11:18:05.312Z] GET /api/users
[2026-03-28T11:18:05.316Z] GET /api/guests
[2026-03-28T11:18:05.320Z] GET /api/rsvps
[2026-03-28T11:19:05.306Z] GET /api/users
[2026-03-28T11:19:05.310Z] GET /api/guests
[2026-03-28T11:19:05.311Z] GET /api/rsvps
[2026-03-28T11:19:30.988Z] GET /api/content/moments
[2026-03-28T11:19:30.991Z] GET /api/content/home_data
[2026-03-28T11:19:30.991Z] GET /api/content/events
[2026-03-28T11:19:30.992Z] GET /api/content/contact_data
[2026-03-28T11:19:30.992Z] GET /api/content/gallery
[2026-03-28T11:19:30.992Z] GET /api/content/stories
[2026-03-28T11:19:31.374Z] GET /api/content/family_people
[2026-03-28T11:19:31.377Z] GET /api/content/family_families
[2026-03-28T11:19:31.378Z] GET /api/content/family_links
[2026-03-28T11:19:31.380Z] GET /api/content/groom_family_links
[2026-03-28T11:19:31.380Z] GET /api/content/groom_family_families
[2026-03-28T11:19:31.381Z] GET /api/content/groom_family_people
[2026-03-28T11:19:31.382Z] GET /api/rsvps
[2026-03-28T11:19:31.384Z] GET /api/content/moments
[2026-03-28T11:19:31.384Z] GET /api/content/events
[2026-03-28T11:19:31.384Z] GET /api/content/contact_data
[2026-03-28T11:19:31.385Z] GET /api/content/gallery
[2026-03-28T11:19:31.386Z] GET /api/content/home_data
[2026-03-28T11:19:31.387Z] GET /api/content/stories
[2026-03-28T11:19:31.387Z] GET /api/content/family_people
[2026-03-28T11:19:31.388Z] GET /api/content/family_families
[2026-03-28T11:19:31.389Z] GET /api/content/groom_family_links
[2026-03-28T11:19:31.390Z] GET /api/content/family_links
[2026-03-28T11:19:31.391Z] GET /api/content/groom_family_families
[2026-03-28T11:19:31.391Z] GET /api/content/groom_family_people
[2026-03-28T11:19:31.391Z] GET /api/rsvps
[2026-03-28T11:20:05.300Z] GET /api/rsvps
[2026-03-28T11:20:05.302Z] GET /api/guests
[2026-03-28T11:20:05.304Z] GET /api/users
[2026-03-28T11:21:05.299Z] GET /api/rsvps
[2026-03-28T11:21:05.301Z] GET /api/users
[2026-03-28T11:21:05.303Z] GET /api/guests
[2026-03-28T11:22:05.307Z] GET /api/rsvps
[2026-03-28T11:22:05.312Z] GET /api/users
[2026-03-28T11:22:05.314Z] GET /api/guests
[2026-03-28T11:23:05.321Z] GET /api/users
[2026-03-28T11:23:05.326Z] GET /api/guests
[2026-03-28T11:23:05.328Z] GET /api/rsvps
[2026-03-28T11:24:05.321Z] GET /api/users
[2026-03-28T11:24:05.325Z] GET /api/guests
[2026-03-28T11:24:05.328Z] GET /api/rsvps
[2026-03-28T11:25:05.398Z] GET /api/users
[2026-03-28T11:25:05.410Z] GET /api/guests
